date,AAPL,MSFT,GOOG,AMZN,NVDA
2024-01-01,100.24,99.85,101.02,100.21,99.25
2024-01-02,100.83,101.88,102.51,99.20,97.43
2024-01-03,99.95,101.99,99.05,98.93,95.68
2024-01-04,98.90,101.21,98.63,99.59,97.23
2024-01-05,98.76,103.36,97.70,100.17,98.61
2024-01-06,98.95,102.26,96.41,99.53,98.98
2024-01-07,97.51,101.99,96.22,100.39,99.35
2024-01-08,98.08,101.05,96.08,101.63,101.65
2024-01-09,96.30,103.42,98.09,102.88,102.11
2024-01-10,95.89,105.76,101.07,105.75,104.20
2024-01-11,96.46,103.91,101.11,106.85,102.25
2024-01-12,97.08,104.64,102.23,105.02,101.29
2024-01-13,96.49,102.87,104.98,104.30,101.85
2024-01-14,96.17,105.39,107.13,105.35,98.58
2024-01-15,96.29,106.53,108.81,104.43,101.37
2024-01-16,94.45,105.54,110.41,104.56,104.51
2024-01-17,94.76,104.59,109.84,102.91,102.58
2024-01-18,95.71,105.56,112.05,101.80,105.26
2024-01-19,95.35,108.13,111.38,100.74,105.71
2024-01-20,96.88,108.45,110.46,98.78,103.56
2024-01-21,97.66,110.13,110.24,97.25,104.98
2024-01-22,95.85,109.01,111.33,94.07,105.64
2024-01-23,95.07,109.24,111.26,94.40,106.80
2024-01-24,94.04,111.65,112.53,95.65,108.74
2024-01-25,95.21,113.13,112.72,93.67,108.57
2024-01-26,94.16,110.80,113.21,92.92,106.96
2024-01-27,92.75,111.30,113.88,94.83,106.99
2024-01-28,94.25,113.72,115.92,91.57,109.04
2024-01-29,94.78,114.51,116.63,92.15,109.62
2024-01-30,94.32,111.34,116.49,91.09,111.46
2024-01-31,93.96,111.54,115.08,90.44,111.50
2024-02-01,91.94,112.10,114.95,88.89,107.61
2024-02-02,92.69,111.65,114.10,88.62,110.64
2024-02-03,92.67,111.86,111.64,90.88,112.23
2024-02-04,94.21,111.99,113.24,91.43,113.32
2024-02-05,94.04,109.60,115.06,88.86,112.97
2024-02-06,93.80,107.95,116.18,88.64,112.29
2024-02-07,94.58,107.24,118.68,89.15,111.55
2024-02-08,91.91,105.20,120.69,89.13,111.13
2024-02-09,94.25,103.25,119.70,88.54,112.17
2024-02-10,93.37,102.36,116.91,89.56,113.59
2024-02-11,92.75,102.66,114.72,88.98,116.02
2024-02-12,92.98,106.33,113.43,89.80,115.74
2024-02-13,93.82,106.37,112.54,88.68,121.25
2024-02-14,93.76,103.26,111.50,89.63,120.40
2024-02-15,95.74,104.87,111.30,89.04,118.66
2024-02-16,94.79,102.63,113.39,91.24,116.50
2024-02-17,93.17,100.00,111.82,87.13,114.58
2024-02-18,95.05,99.53,113.32,86.54,117.71
2024-02-19,95.38,99.01,117.80,86.16,115.63
2024-02-20,95.72,99.00,119.76,85.02,117.09
2024-02-21,97.00,98.06,120.11,84.01,121.35
2024-02-22,96.03,97.45,118.27,83.61,121.40
2024-02-23,97.19,96.61,118.00,81.90,119.96
2024-02-24,101.34,98.18,116.68,80.31,118.28
2024-02-25,101.36,98.28,115.44,78.82,120.89
2024-02-26,102.10,97.78,115.12,78.23,115.74
2024-02-27,102.33,96.27,113.46,77.52,117.07
2024-02-28,100.59,94.26,114.61,78.44,115.46
2024-02-29,101.50,93.90,115.18,77.01,116.97
